city_name;UF;ibge_cod;GADM_GID_2;pop_2020;MHDI_tot;MHDI_long;MHDI_edu;MHDI_inc;SVI_tot;SVI_inf;SVI_hum;SVI_wrk;MHDI_quantiles;;MHDI quartiles;;SVI quartiles;
Senador José Porfírio/PA;PA;1507805;BRA.14.129_1; 11.480 ;0,514;0,533;0,754;0,338;0,629;0,632;0,717;0,539; 0,013 ;;;;;
São Félix de Balsas/MA;MA;2110807;BRA.10.176_1; 4.562 ;0,557;0,517;0,778;0,43;0,629;0,733;0,637;0,517; 0,080 ;;;;;
Amajari/RR;RR;1400027;BRA.23.2_1; 13.185 ;0,484;0,437;0,815;0,319;0,628;0,366;0,815;0,702; 0,002 ;;;;;
Buritirana/MA;MA;2102358;BRA.10.42_1; 15.467 ;0,583;0,54;0,725;0,505;0,628;0,815;0,572;0,497; 0,175 ;;;;;
Bom Lugar/MA;MA;2102077;BRA.10.36_1; 16.438 ;0,562;0,486;0,741;0,493;0,628;0,524;0,608;0,751; 0,096 ;;;;;
Uarini/AM;AM;1304260;BRA.4.58_1; 13.690 ;0,527;0,535;0,724;0,378;0,627;0,595;0,677;0,608; 0,025 ;;;;;
Nina Rodrigues/MA;MA;2107209;BRA.10.124_1; 14.642 ;0,585;0,474;0,774;0,547;0,627;0,662;0,651;0,568; 0,184 ;;;;;
Carutapera/MA;MA;2102903;BRA.10.51_1; 23.952 ;0,574;0,533;0,747;0,476;0,627;0,759;0,617;0,506; 0,140 ;;;;;
Capim/PB;PB;2504033;BRA.15.52_1; 6.620 ;0,533;0,52;0,728;0,4;0,627;0,483;0,757;0,641; 0,033 ;;;;;
Borba/AM;AM;1300805;BRA.4.14_1; 41.748 ;0,56;0,532;0,776;0,425;0,626;0,555;0,635;0,688; 0,089 ;;;;;
Anapu/PA;PA;1500859;BRA.14.11_1; 28.607 ;0,548;0,563;0,788;0,371;0,626;0,635;0,668;0,575; 0,057 ;;;;;
Benedito Leite/MA;MA;2101806;BRA.10.30_1; 5.638 ;0,546;0,531;0,719;0,426;0,625;0,628;0,581;0,667; 0,053 ;;;;;
Campos Lindos/TO;TO;1703842;BRA.27.30_1; 10.312 ;0,544;0,578;0,738;0,377;0,623;0,496;0,695;0,678; 0,049 ;;;;;
Branquinha/AL;AL;2701100;BRA.2.11_1; 10.460 ;0,513;0,534;0,699;0,362;0,623;0,532;0,781;0,557; 0,012 ;;;;;
Barreirinha/AM;AM;1300508;BRA.4.9_1; 32.483 ;0,574;0,469;0,774;0,522;0,622;0,69;0,512;0,664; 0,140 ;;;;;
Tutóia/MA;MA;2112506;BRA.10.211_1; 59.398 ;0,561;0,543;0,722;0,451;0,622;0,687;0,621;0,557; 0,092 ;;;;;
Maracaçumé/MA;MA;2106326;BRA.10.110_1; 21.586 ;0,582;0,546;0,719;0,501;0,621;0,712;0,644;0,508; 0,171 ;;;;;
Fortuna/MA;MA;2104206;BRA.10.74_1; 15.567 ;0,58;0,558;0,706;0,494;0,621;0,736;0,644;0,482; 0,163 ;;;;;
Tupanatinga/PE;PE;2615805;BRA.17.174_1; 27.551 ;0,519;0,494;0,747;0,379;0,621;0,563;0,659;0,64; 0,017 ;;;;;
Canutama/AM;AM;1300904;BRA.4.16_1; 15.807 ;0,53;0,522;0,752;0,379;0,62;0,603;0,687;0,569; 0,029 ;;;;;
Mirinzal/MA;MA;2106805;BRA.10.120_1; 15.011 ;0,622;0,546;0,756;0,582;0,62;0,882;0,455;0,522; 0,338 ;;;;;
Sucupira do Norte/MA;MA;2111904;BRA.10.200_1; 10.634 ;0,579;0,526;0,731;0,505;0,62;0,758;0,566;0,535; 0,161 ;;;;;
Alto Alegre do Maranhão/MA;MA;2100436;BRA.10.7_1; 27.858 ;0,554;0,516;0,744;0,444;0,62;0,538;0,686;0,636; 0,073 ;;;;;
Marajá do Sena/MA;MA;2106359;BRA.10.111_1; 7.775 ;0,452;0,4;0,774;0,299;0,619;0,383;0,79;0,684; -   ;;;;;
São Raimundo do Doca Bezerra/MA;MA;2111631;BRA.10.192_1; 5.131 ;0,516;0,478;0,7;0,41;0,618;0,64;0,672;0,543; 0,015 ;;;;;
São José dos Basílios/MA;MA;2111250;BRA.10.185_1; 7.640 ;0,557;0,501;0,719;0,48;0,618;0,767;0,575;0,513; 0,080 ;;;;;
Amarante do Maranhão/MA;MA;2100600;BRA.10.11_1; 41.729 ;0,555;0,541;0,716;0,441;0,617;0,589;0,672;0,589; 0,075 ;;;;;
São Luís do Quitunde/AL;AL;2708501;BRA.2.90_1; 34.692 ;0,536;0,55;0,701;0,4;0,617;0,534;0,793;0,524; 0,036 ;;;;;
Santa Isabel do Rio Negro/AM;AM;1303601;BRA.4.48_1; 25.865 ;0,479;0,461;0,737;0,323;0,616;0,388;0,751;0,71; 0,00100 ;;;;;
Esperantina/TO;TO;1707405;BRA.27.49_1; 11.139 ;0,57;0,495;0,715;0,524;0,616;0,588;0,577;0,684; 0,125 ;;;;;
São Pedro da Água Branca/MA;MA;2111532;BRA.10.189_1; 12.735 ;0,605;0,577;0,735;0,523;0,616;0,642;0,634;0,573; 0,271 ;;;;;
Nhamundá/AM;AM;1303007;BRA.4.40_1; 21.443 ;0,586;0,513;0,779;0,503;0,615;0,652;0,531;0,662; 0,188 ;;;;;
